"filename", "language", "Markdown", "C", "C++", "comment", "blank", "total"
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\booked.c", "C", 0, 287, 0, 48, 20, 355
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\buypage.c", "C", 0, 1295, 0, 125, 103, 1523
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\cardch.c", "C", 0, 322, 0, 47, 16, 385
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\change.c", "C", 0, 549, 0, 96, 87, 732
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\change2.c", "C", 0, 349, 0, 68, 24, 441
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\checkin.c", "C", 0, 1179, 0, 74, 13, 1266
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\dyanmic.c", "C", 0, 1647, 0, 145, 141, 1933
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\flgstate.c", "C", 0, 1505, 0, 203, 149, 1857
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\hesuan.c", "C", 0, 263, 0, 52, 10, 325
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\history.c", "C", 0, 472, 0, 77, 19, 568
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\htinfo.c", "C", 0, 221, 0, 59, 11, 291
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\hz.c", "C", 0, 190, 0, 5, 38, 233
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\login.c", "C", 0, 733, 0, 122, 76, 931
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\main.c", "C", 0, 195, 0, 3, 12, 210
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\mycard.c", "C", 0, 119, 0, 34, 12, 165
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\pay.c", "C", 0, 413, 0, 47, 41, 501
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\payment.c", "C", 0, 374, 0, 58, 18, 450
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\prevent.c", "C", 0, 514, 0, 108, 29, 651
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\purchase.c", "C", 0, 584, 0, 76, 53, 713
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\queue.c", "C", 0, 192, 0, 183, 23, 398
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\register.c", "C", 0, 601, 0, 120, 64, 785
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\reserve.c", "C", 0, 638, 0, 106, 32, 776
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\scanpay.c", "C", 0, 270, 0, 43, 21, 334
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\time.c", "C", 0, 44, 0, 12, 11, 67
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\up.c", "C", 0, 414, 0, 48, 18, 480
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\upload.c", "C", 0, 123, 0, 37, 8, 168
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\userpage.c", "C", 0, 590, 0, 86, 28, 704
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\welcome.c", "C", 0, 33, 0, 8, 13, 54
"Total", "-", 2, 14409, 616, 2382, 1295, 18704
