"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\area.h", "C", 0, 4, 0, -1, 3
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\danger.h", "C++", 4, 0, 0, 4, 8
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\manage.h", "C++", 7, 0, 0, 2, 9
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\area.c", "C", 0, 127, 22, 4, 153
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\danger.c", "C", 0, 107, 20, 6, 133
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\main.c", "C", 0, 10, 0, 0, 10
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\manage.c", "C", 0, 117, 26, 5, 148
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\prevent.c", "C", 0, 23, 1, 3, 27
"Total", "-", 11, 388, 69, 23, 491
